Date,Text,Sentiment Scores,Sentiment Label
27/12/2023,#eVTOL player $JOBY has partnered with ANA and Nomura Real Estate Development on the development of #vertiport infrastructure in #Japan,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
27/12/2023,"2/2.... y la Virgen por haberlo permitido, con nuestro Rector Magnífico 
@giovanninani
, nuestro Decano de la Facultad de Ciencias Jurídicas y Políticas, así como las demás autoridades de mi Alma Mater y del Palacio de Justicia.

#MartinezDiazAbogados 
#DerechoPenal 
#UAM","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
27/12/2023,The National Civil Aviation Agency of Brazil has released proposed airworthiness criteria for $EVEX's under-development #eVTOL. The public consultation period last through mid-Feb 2024.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
27/12/2023," What if an aircraft could take off vertically like a helicopter and fly forward like an airplane?

  Patent US10513334B2 describes an X-tiltwing aircraft that can do just that!  #VTOL #innovation #aviation #patent #patents","{'neg': 0.0, 'neu': 0.85, 'pos': 0.15, 'compound': 0.6476}",positive
23/12/2023,"#Lilium has begun assembly of a full-scale airframe of its #eVTOL. Flight testing is expected to start in late 2024, w/ entry into service anticipated in 2026.

Lilium & #Lufthansa signed an MoU re: a ""strategic partnership to explore"" eVTOL commercial applications in Europe.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
21/12/2023,#evtol is a greater invention / revolution than the wheel.. it involves none !!!,"{'neg': 0.0, 'neu': 0.765, 'pos': 0.235, 'compound': 0.5229}",positive
20/12/2023,Love the love $lilm is getting.. such a sexy #evtol and such a smooth delivery .. unique to say the least .. luxurious,"{'neg': 0.0, 'neu': 0.604, 'pos': 0.396, 'compound': 0.9153}",positive
20/12/2023,Being short #evtol is being short of Henry Ford and the revolution of automobiles on steroids,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
18/12/2023," Disponible la Agenda de los centros del Campus UAM-CSIC para esta semana 

 Descubre las actividades, convocatorias, cursos y exposiciones que se realizan en la #UAM

 #AgendaUAM","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
18/12/2023,"Todo cambió en la sociedad y en sus relaciones de poder, necesita una transformación de los principios de reconocimiento de valor establecido (Banet- Weiser y Castells,2017)
#UAM
#RP","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
17/12/2023,"#eVTOL 型 air mobility.
数km〜数十kmの距離を、簡便に利用できるからこそ、人々にとって身近なものになる。　タケコプターを因数分解し階段を昇って行けば近づけるはず。
それにしても航空機同様にFAAやEASAの認証を前提とせず先行できるように　#国交省 や #経産省 には知恵を絞って頂きたい！","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
15/12/2023," Atención estudiantes


@UAM_Biblioteca
 dispone de una agenda en la que puedes consultar los horarios de las bibliotecas de la #UAM durante las vacaciones de Navidad y el periodo de exámenes ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
15/12/2023," Are there any specific regulations or guidelines you think should be in place for recreational drone use? 
Yes
No. 
Not Sure. 
#ImAFUSAPolls #UAM #drones #dronesforgood","{'neg': 0.144, 'neu': 0.762, 'pos': 0.094, 'compound': -0.1184}",negative
14/12/2023,"„Jowita” zostaje!!! Brawo Panie Ministrze  
@wieczorekdarek
 

 
@Lewica
 #UAM #DSJowita #student","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
14/12/2023," El próximo 21 de diciembre disfruta del Concierto de Navidad de la #UAM  

La Orquesta y Coro de la Universidad Autónoma de Madrid se unen de nuevo para interpretar un programa sinfónico coral bajo la batuta de su director, José María Álvarez.  

¡Te esperamos! ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
13/12/2023,"Z głębi serca solidaryzujemy się z i popieramy Studentki, Studenx i Studentów, okupującymi akademik #Jowita #UAM w Poznaniu!!! Tomasz Kitliński (Akademia Sztuki w Szczecinie) i Paweł Leszkowicz (UAM) #okupacjajowity","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
